,0
0,4004.405225450098
1,4001.795579055504
2,3478.943209958724
3,4177.704950469937
4,3729.287796222037
5,3660.3498882711065
6,3764.774124915739
7,4207.8175153987195
8,4188.277903367492
9,4020.062326139173
10,4156.592456708644
11,4043.786270559208
12,3793.734098690327
13,3687.874201001998
14,3459.805825290806
15,3417.6543419307586
16,4413.810174208142
17,4289.312075454893
18,4433.50795296095
19,4106.78784772839
20,4034.8684850939326
21,4453.031870969426
22,4134.9765687891995
23,4472.161669091829
24,4524.604438060034
25,3976.880456918962
26,3981.896266469598
27,3850.400826172425
28,3752.583019198185
29,3799.338527020941
30,4515.913459835833
31,4056.172863656824
32,4337.31101844638
33,4051.141850816535
34,3949.1022679402863
35,4163.332726502333
36,3886.6717506538894
37,3782.597253163065
38,3847.4839389667527
39,3613.975941173059
40,3764.447037990813
41,3828.1852668688866
42,3805.7718834755588
43,4271.480332585679
44,4458.433496992289
45,4221.571847074873
46,3792.273098807854
47,3976.9390268197394
48,3636.8279235081072
49,3875.846431930371
50,3804.7865605873326
51,4259.777108440363
52,3814.359049251999
53,4024.4001187298763
54,4131.05437785849
55,4034.965235179463
56,3919.2921968590886
57,4054.0159117165776
58,3852.6387149701927
59,3858.4739918751684
60,4116.0478400984
61,3933.865865704819
62,3967.110635605938
63,4029.5736128065155
64,3691.7451338176506
65,4435.505645428001
66,4298.903427942481
67,4429.471910234304
68,4363.730326590348
69,4140.736713937349
70,4021.3853269054944
71,3985.305592498424
72,4362.322482077345
73,4041.7714057902685
74,3969.993938632495
75,3742.4256439230808
76,3734.1295472066386
77,3435.401495240023
78,3988.2051306572257
79,3675.1592344344326
80,4162.077531468105
81,4432.897955431566
82,4095.1780881639615
83,4246.080857297294
84,3756.392100361977
85,4004.313204385752
86,3868.2530965746605
87,3763.7167359403866
88,4461.7292925199945
89,3784.451221696683
90,3431.1802419778383
91,3914.2951371264226
92,3909.9257203026154
93,3862.4114619988604
94,4358.568626229515
95,3793.0640782691385
96,4283.998178313324
97,3696.3721013160502
98,4014.3216276736475
99,3986.580789879757
100,4298.3455611350455
101,4351.592828055813
102,4066.500636477852
103,4207.051208647277
104,3999.4773511315752
105,3726.7073040969613
106,4217.466910815465
